title,price,bedrooms,has_maid_room,bathrooms,area_sqm,property_type,available_from,location,amenities,area_sqft,region,sub_area,furnishing_status,amenities_no_furnishing,amenities_clean_list,amenity_balcony,amenity_built_in_wardrobes,amenity_central_a_c,amenity_children's_pool,amenity_covered_parking,amenity_kitchen_appliances,amenity_lobby_in_building,amenity_maids_room,amenity_private_garden,amenity_private_pool,amenity_security,amenity_shared_gym,amenity_shared_pool,amenity_shared_spa,amenity_study,amenity_view_of_landmark,amenity_view_of_water,amenity_walk-in_closet,available_year,available_month,available_day,price_per_sqm,amenities_count,total_rooms,price_per_bedroom,price_per_bathroom,area_per_bedroom,area_per_bathroom,amenities_per_room
Lowest Price Town House Corner In MV Ready To Move,12300000,3,True,3,203,Townhouse,2026-06-11,"Mountain View, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",2185,North Coast,Mountain View,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,11,60591.13300492611,9,6,4100000.0,4100000.0,67.66666666666667,67.66666666666667,1.5
Lowest Price 2 bed In Silver Sands Prime Location,7500000,2,True,3,149,Chalet,2026-06-11,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Central A/C, Built in Wardrobes, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",1604,North Coast,Silver Sands,Unfurnished,"Balcony, Central A/C, Built in Wardrobes, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Central A/C', 'Built In Wardrobes', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,11,50335.57046979866,9,5,3750000.0,2500000.0,74.5,49.666666666666664,1.8
Villa 6 bed View Lagoon Bahri Finished in Marassi,55000000,6,True,6,650,Villa,2026-06-11,"Marassi, Sidi Abdel Rahman, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",6997,North Coast,Marassi,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,11,84615.38461538461,9,12,9166666.666666666,9166666.666666666,108.33333333333333,108.33333333333333,0.75
Villa Panoramic Sea View Direct in Marassi Bay,220000000,7,True,7,900,Villa,2026-06-11,"Marassi, Sidi Abdel Rahman, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",9688,North Coast,Marassi,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,11,244444.44444444444,9,14,31428571.42857143,31428571.42857143,128.57142857142858,128.57142857142858,0.6428571428571429
Marassi Town 230 M 4 bed for Sale Good Location,29000000,4,True,4,300,Townhouse,2026-06-10,"Marassi, Sidi Abdel Rahman, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Study, Shared Spa, Shared Gym, Walk-in Closet, View of Landmark",3229,North Coast,Marassi,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Study, Shared Spa, Shared Gym, Walk-in Closet, View of Landmark","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Study', 'Shared Spa', 'Shared Gym', 'Walk-In Closet', 'View Of Landmark']",1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,2026,6,10,96666.66666666667,9,8,7250000.0,7250000.0,75.0,75.0,1.125
Resale Amazing Senior Upper Chalet Ready to Move,10500000,4,True,4,289,Chalet,2026-06-11,"Azha North, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",3111,North Coast,Azha North,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,11,36332.17993079585,9,8,2625000.0,2625000.0,72.25,72.25,1.125
Resale Amazing Senior Upper Chalet Ready to Move,13000000,3,True,3,205,Chalet,2026-06-11,"Azha North, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Kitchen Appliances, Maids Room, Covered Parking, Private Garden, Private Pool, Shared Pool",2207,North Coast,Azha North,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Kitchen Appliances, Maids Room, Covered Parking, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Kitchen Appliances', 'Maids Room', 'Covered Parking', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,11,63414.634146341465,9,6,4333333.333333333,4333333.333333333,68.33333333333333,68.33333333333333,1.5
Standalone in Blanca first row golf with pool,70000000,5,False,5,500,Villa,2026-06-11,"Marassi, Sidi Abdel Rahman, North Coast","Partly furnished, Covered Parking, Central A/C",5382,North Coast,Marassi,Partly furnished,"Covered Parking, Central A/C","['Covered Parking', 'Central A/C']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2026,6,11,140000.0,2,10,14000000.0,14000000.0,100.0,100.0,0.2
first row lagoon chalet in fouka bay LOWEST PRICE,9500000,3,False,2,125,Villa,2026-06-11,"Fouka Bay, Qesm Marsa Matrouh, North Coast","Partly furnished, Covered Parking, View of Landmark",1345,North Coast,Fouka Bay,Partly furnished,"Covered Parking, View of Landmark","['Covered Parking', 'View Of Landmark']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2026,6,11,76000.0,2,5,3166666.6666666665,4750000.0,41.666666666666664,62.5,0.4
lowest downpayment ground floor at hyde park NC,5366000,2,True,2,113,Apartment,2026-06-11,"Garden Residence, Hyde Park, New Cairo City, Cairo","Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study",1216,Cairo,Garden Residence,Unknown,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,2026,6,11,47486.72566371682,10,4,2683000.0,2683000.0,56.5,56.5,2.5
resale villa with very prime view & price,43000000,5,True,7,790,Villa,2026-06-11,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study",8503,Cairo,Palm Hills New Cairo,Unknown,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,2026,6,11,54430.379746835446,10,12,8600000.0,6142857.142857143,158.0,112.85714285714286,0.8333333333333334
Last large luxury 2bed panoramic view over 8years!,13000000,2,True,3,130,Chalet,2026-06-10,"Mangroovy Residence, El Gouna, Hurghada, Red Sea","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",1399,Red Sea,Mangroovy Residence,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,10,100000.0,9,5,6500000.0,4333333.333333333,65.0,43.333333333333336,1.8
3 Beds Chalet for Sale _ Near Beach _ Over 9 y,17000000,3,True,3,140,Chalet,2026-06-10,"Marsa Baghush, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Study, View of Water",1507,North Coast,Marsa Baghush,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Study, View of Water","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Study', 'View Of Water']",1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,2026,6,10,121428.57142857143,9,6,5666666.666666667,5666666.666666667,46.666666666666664,46.666666666666664,1.5
Ready To Move Apt Lowest Price In The Market,12000000,2,False,2,116,Apartment,2026-06-04,"Elan, Cairo Gate, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","Unfurnished, Balcony, Central A/C, Covered Parking, Study, Security, Shared Spa, Shared Gym, View of Landmark",1249,Giza,Elan,Unfurnished,"Balcony, Central A/C, Covered Parking, Study, Security, Shared Spa, Shared Gym, View of Landmark","['Balcony', 'Central A/C', 'Covered Parking', 'Study', 'Security', 'Shared Spa', 'Shared Gym', 'View Of Landmark']",1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,2026,6,4,103448.27586206897,8,4,6000000.0,6000000.0,58.0,58.0,2.0
Chalet Lagoon View Finished With AC Prime Location,17570290,2,False,2,150,Chalet,2026-06-03,"Almaza Bay, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Central A/C, Covered Parking, Study, Security, Shared Spa, Shared Gym, View of Water, Shared Pool",1615,North Coast,Almaza Bay,Unfurnished,"Balcony, Central A/C, Covered Parking, Study, Security, Shared Spa, Shared Gym, View of Water, Shared Pool","['Balcony', 'Central A/C', 'Covered Parking', 'Study', 'Security', 'Shared Spa', 'Shared Gym', 'View Of Water', 'Shared Pool']",1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,2026,6,3,117135.26666666666,9,4,8785145.0,8785145.0,75.0,75.0,2.25
Chalet Duplex In Beit Al Bahr Sea View,26000000,5,True,4,250,Chalet,2026-06-02,"Beit Al Bahr, Sidi Heneish, North Coast","Unfurnished, Balcony, Central A/C, Covered Parking, Maids Room, Shared Pool, Study, View of Water, Security, Shared Spa",2691,North Coast,Beit Al Bahr,Unfurnished,"Balcony, Central A/C, Covered Parking, Maids Room, Shared Pool, Study, View of Water, Security, Shared Spa","['Balcony', 'Central A/C', 'Covered Parking', 'Maids Room', 'Shared Pool', 'Study', 'View Of Water', 'Security', 'Shared Spa']",1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,2026,6,2,104000.0,9,9,5200000.0,6500000.0,50.0,62.5,1.0
"First Row Villa On The Sea For Sale, Ready To Move",30000000,4,True,5,300,Villa,2026-06-21,"Ramla, Ras Al Hekma, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Pool, Private Garden, Study",3229,North Coast,Ramla,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Pool, Private Garden, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Pool', 'Private Garden', 'Study']",1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,2026,6,21,100000.0,9,9,7500000.0,6000000.0,75.0,60.0,1.0
with 850dp chalet 3bd full sea view finished 10y,17000000,3,True,3,150,Chalet,2026-06-18,"June, Ras Al Hekma, North Coast","Furnished, Built in Wardrobes, Balcony, Kitchen Appliances, Central A/C, Covered Parking, Private Garden, Private Pool, Maids Room, Study",1615,North Coast,June,Furnished,"Built in Wardrobes, Balcony, Kitchen Appliances, Central A/C, Covered Parking, Private Garden, Private Pool, Maids Room, Study","['Built In Wardrobes', 'Balcony', 'Kitchen Appliances', 'Central A/C', 'Covered Parking', 'Private Garden', 'Private Pool', 'Maids Room', 'Study']",1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,2026,6,18,113333.33333333333,9,6,5666666.666666667,5666666.666666667,50.0,50.0,1.5
with 500dp chalet full sea view fully finished 8y,10000000,2,True,2,101,Chalet,2026-06-18,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea","Furnished, Security, Private Pool, Private Garden, Kitchen Appliances, Covered Parking, Central A/C, Maids Room, Study, Shared Pool",1087,Red Sea,Makadi Heights,Furnished,"Security, Private Pool, Private Garden, Kitchen Appliances, Covered Parking, Central A/C, Maids Room, Study, Shared Pool","['Security', 'Private Pool', 'Private Garden', 'Kitchen Appliances', 'Covered Parking', 'Central A/C', 'Maids Room', 'Study', 'Shared Pool']",0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,2026,6,18,99009.900990099,9,4,5000000.0,5000000.0,50.5,50.5,2.25
villa fully finished prime view with0%dp over10yea,26000000,5,True,4,250,Villa,2026-06-18,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Maids Room, Built in Wardrobes, Kitchen Appliances, Covered Parking, Central A/C, Balcony, Private Pool, Private Garden, Study",2691,Cairo,Palm Hills New Cairo,Unfurnished,"Maids Room, Built in Wardrobes, Kitchen Appliances, Covered Parking, Central A/C, Balcony, Private Pool, Private Garden, Study","['Maids Room', 'Built In Wardrobes', 'Kitchen Appliances', 'Covered Parking', 'Central A/C', 'Balcony', 'Private Pool', 'Private Garden', 'Study']",1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,2026,6,18,104000.0,9,9,5200000.0,6500000.0,50.0,62.5,1.0
Ready To Move 1st Sea Row Luxury Villa - 6Y Plan !,14215000,3,True,3,140,Villa,2026-06-20,"June, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",1507,North Coast,June,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,20,101535.71428571429,9,6,4738333.333333333,4738333.333333333,46.666666666666664,46.666666666666664,1.5
Deliver 2027 | 4BR Apartment With Roof - 10Y Plan,17387000,4,True,3,270,Apartment,2026-06-20,"Sodic East, 6th District, New Heliopolis, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",2906,Cairo,Sodic East,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,20,64396.2962962963,9,7,4346750.0,5795666.666666667,67.5,90.0,1.2857142857142858
Own chalet 1BR PRIME LOC in silver sands by ora,9000000,1,False,1,85,Chalet,2026-06-20,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Pool, Shared Pool, Study, Security",915,North Coast,Silver Sands,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Pool, Shared Pool, Study, Security","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Private Pool', 'Shared Pool', 'Study', 'Security']",1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,2026,6,20,105882.35294117648,9,2,9000000.0,9000000.0,85.0,85.0,4.5
Own Sea View Luxury Finished Villa in Red Sea,25000000,5,True,4,250,Villa,2026-06-20,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",2691,Red Sea,Makadi Heights,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,20,100000.0,9,9,5000000.0,6250000.0,50.0,62.5,1.0
VILLA SEA FRONE WITH LOWEST PRICE IN RED SEA !!,28000000,4,True,4,400,Villa,2026-06-17,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",4306,Red Sea,Makadi Heights,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,17,70000.0,9,8,7000000.0,7000000.0,100.0,100.0,1.125
LIMITED VILLAS WITH SEA VIEW AND EARLY DELIVERY!,29000000,3,True,3,250,Villa,2026-06-19,"Soma Breeze, Soma Bay, Safaga, Hurghada, Red Sea","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study",2691,Red Sea,Soma Breeze,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study']",1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,2026,6,19,116000.0,9,6,9666666.666666666,9666666.666666666,83.33333333333333,83.33333333333333,1.5
Own Your Chalet Sea View In Ras El Hekma Finished,11700000,1,False,1,65,Chalet,2026-06-03,"Hacienda Waters, Qesm Ad Dabaah, North Coast","Unfurnished, Balcony, Central A/C, Covered Parking, Security, Shared Spa, Shared Gym, View of Water, Shared Pool",700,North Coast,Hacienda Waters,Unfurnished,"Balcony, Central A/C, Covered Parking, Security, Shared Spa, Shared Gym, View of Water, Shared Pool","['Balcony', 'Central A/C', 'Covered Parking', 'Security', 'Shared Spa', 'Shared Gym', 'View Of Water', 'Shared Pool']",1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,2026,6,3,180000.0,8,2,11700000.0,11700000.0,65.0,65.0,4.0
Sea and Lagoon View 2 Bedroom Chalet - Resale,6500000,2,True,2,93,Chalet,2026-06-09,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",1001,Red Sea,Makadi Heights,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,9,69892.47311827957,9,4,3250000.0,3250000.0,46.5,46.5,2.25
Luxury Sea Front Villa Direct on Marassi Bay,260000000,7,True,7,1100,Villa,2026-06-09,"Marassi, Sidi Abdel Rahman, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",11840,North Coast,Marassi,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,9,236363.63636363635,9,14,37142857.14285714,37142857.14285714,157.14285714285714,157.14285714285714,0.6428571428571429
Own Chalet 3 beds Seaview Lowest Price @RAMLA,23000000,3,True,4,174,Chalet,2026-06-09,"Ramla, Ras Al Hekma, North Coast","Unfurnished, Balcony, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study",1873,North Coast,Ramla,Unfurnished,"Balcony, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study","['Balcony', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study']",1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,2026,6,9,132183.908045977,9,7,7666666.666666667,5750000.0,58.0,43.5,1.2857142857142858
Luxury Chalet 3Bed_30%Cash Discount_MARSA BAGHOUSH,14700000,3,True,3,145,Chalet,2026-06-09,"Marsa Baghush, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",1561,North Coast,Marsa Baghush,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,9,101379.31034482758,9,6,4900000.0,4900000.0,48.333333333333336,48.333333333333336,1.5
lowest price villa 7 beds With Panoramic Sea View,125000000,7,True,7,620,Villa,2026-06-08,"Marassi, Sidi Abdel Rahman, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",6674,North Coast,Marassi,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,8,201612.90322580645,9,14,17857142.85714286,17857142.85714286,88.57142857142857,88.57142857142857,0.6428571428571429
Resale Luxury villa with premium quality Finishing,67000000,6,True,6,500,Villa,2026-06-08,"Cairo Festival City, North Investors Area, New Cairo City, Cairo","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Kitchen Appliances, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool",5382,Cairo,Cairo Festival City,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Kitchen Appliances, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Kitchen Appliances', 'Covered Parking', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,8,134000.0,9,12,11166666.666666666,11166666.666666666,83.33333333333333,83.33333333333333,0.75
Resale Under Market Price Private jacuzzi ForSale,8012880,2,True,2,89,Apartment,2026-06-14,"Makadi Orascom Resort, Makadi, Hurghada, Red Sea","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Study",958,Red Sea,Makadi Orascom Resort,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Study']",1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,2026,6,14,90032.3595505618,9,4,4006440.0,4006440.0,44.5,44.5,2.25
PRIME TOWN HOUSE DIRECT ON LAGOON WITH LOWEST 5%DP,18000000,3,True,4,250,Chalet,2026-05-25,"Marassi Red Sea, Soma Bay, Safaga, Hurghada, Red Sea","Unfurnished, Balcony, Central A/C, Built in Wardrobes, Kitchen Appliances, Maids Room, Covered Parking, Private Garden, Shared Pool, View of Water",2691,Red Sea,Marassi Red Sea,Unfurnished,"Balcony, Central A/C, Built in Wardrobes, Kitchen Appliances, Maids Room, Covered Parking, Private Garden, Shared Pool, View of Water","['Balcony', 'Central A/C', 'Built In Wardrobes', 'Kitchen Appliances', 'Maids Room', 'Covered Parking', 'Private Garden', 'Shared Pool', 'View Of Water']",1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,2026,5,25,72000.0,9,7,6000000.0,4500000.0,83.33333333333333,62.5,1.2857142857142858
Townhouse Fully Finished Open View Lowest Price,20000000,3,False,3,205,Villa,2026-06-22,"Vye Sodic, New Zayed City, Sheikh Zayed City, Giza","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Private Garden, Private Pool, Shared Pool, Study, Shared Spa, Shared Gym",2207,Giza,Vye Sodic,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Private Garden, Private Pool, Shared Pool, Study, Shared Spa, Shared Gym","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study', 'Shared Spa', 'Shared Gym']",1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,2026,6,22,97560.9756097561,9,6,6666666.666666667,6666666.666666667,68.33333333333333,68.33333333333333,1.5
