title,price,bedrooms,has_maid_room,bathrooms,area_sqm,property_type,available_from,location,amenities,area_sqft,region,sub_area,furnishing_status,amenities_no_furnishing,amenities_clean_list,amenity_balcony,amenity_built_in_wardrobes,amenity_central_a_c,amenity_children's_pool,amenity_covered_parking,amenity_kitchen_appliances,amenity_lobby_in_building,amenity_maids_room,amenity_private_garden,amenity_private_pool,amenity_security,amenity_shared_gym,amenity_shared_pool,amenity_shared_spa,amenity_study,amenity_view_of_landmark,amenity_view_of_water,amenity_walk-in_closet,available_year,available_month,available_day,price_per_sqm,amenities_count,total_rooms,price_per_bedroom,price_per_bathroom,area_per_bedroom,area_per_bathroom,amenities_per_room
HOT DEAL Twin Villa 5BD+Nanny Resale Ready to Move,21500000,5,True,5,385,Twin House,2026-06-14,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Covered Parking, Maids Room, Private Garden, Security",4144,Cairo,Palm Hills New Cairo,Unknown,"Balcony, Covered Parking, Maids Room, Private Garden, Security","['Balcony', 'Covered Parking', 'Maids Room', 'Private Garden', 'Security']",1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,2026,6,14,55844.155844155845,5,10,4300000.0,4300000.0,77.0,77.0,0.5
HOT DEAL Modern Twin Villa 285 sqm Ready to Move,19700000,4,True,4,285,Twin House,2026-06-15,"La Vista City, New Capital Compounds, New Capital City, Cairo","Balcony, Covered Parking, Maids Room, Private Garden, Security",3068,Cairo,La Vista City,Unknown,"Balcony, Covered Parking, Maids Room, Private Garden, Security","['Balcony', 'Covered Parking', 'Maids Room', 'Private Garden', 'Security']",1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,2026,6,15,69122.80701754386,5,8,4925000.0,4925000.0,71.25,71.25,0.625
LOWEST PRICE Mivida Crescent 234m Prime Location,27000000,3,True,2,234,Apartment,2026-06-15,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Maids Room, Security",2519,Cairo,Mivida,Unfurnished,"Balcony, Maids Room, Security","['Balcony', 'Maids Room', 'Security']",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2026,6,15,115384.61538461539,3,5,9000000.0,13500000.0,78.0,117.0,0.6
HOT DEAL Mivida Apartment 137m +G 1st Use Finished,15500000,2,False,2,137,Apartment,2026-06-16,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Private Garden, Security",1475,Cairo,Mivida,Unfurnished,"Private Garden, Security","['Private Garden', 'Security']",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2026,6,16,113138.68613138686,2,4,7750000.0,7750000.0,68.5,68.5,0.5
LOWEST PRICE 143m Finished 1st Use Prime Location,16000000,2,False,2,143,Apartment,2026-06-16,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Security",1539,Cairo,Mivida,Unfurnished,"Balcony, Security","['Balcony', 'Security']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2026,6,16,111888.11188811189,2,4,8000000.0,8000000.0,71.5,71.5,0.5
HOT DEAL Mivida Twin Villa 320m Ready to Move,36000000,3,True,3,320,Twin House,2026-06-16,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Covered Parking, Maids Room, Private Garden, Security",3444,Cairo,Mivida,Unknown,"Balcony, Covered Parking, Maids Room, Private Garden, Security","['Balcony', 'Covered Parking', 'Maids Room', 'Private Garden', 'Security']",1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,2026,6,16,112500.0,5,6,12000000.0,12000000.0,106.66666666666667,106.66666666666667,0.8333333333333334
Mivida Hot Deal 4 Bedrooms Open View on Landscape,47500000,4,True,3,253,Villa,2026-06-16,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Covered Parking, Maids Room, Private Garden, Security",2723,Cairo,Mivida,Unknown,"Balcony, Covered Parking, Maids Room, Private Garden, Security","['Balcony', 'Covered Parking', 'Maids Room', 'Private Garden', 'Security']",1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,2026,6,16,187747.03557312253,5,7,11875000.0,15833333.333333334,63.25,84.33333333333333,0.7142857142857143
Hot Price Standalone 356m BUA Prime View in Mivida,56700000,4,True,4,356,Villa,2026-06-16,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Covered Parking, Maids Room, Private Garden, Security",3832,Cairo,Mivida,Unknown,"Balcony, Covered Parking, Maids Room, Private Garden, Security","['Balcony', 'Covered Parking', 'Maids Room', 'Private Garden', 'Security']",1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,2026,6,16,159269.66292134832,5,8,14175000.0,14175000.0,89.0,89.0,0.625
1St Row Lagoon Chalet For Sale Finished Offer 5%DP,14700000,3,True,3,90,Chalet,2026-06-18,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",969,North Coast,Silver Sands,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,18,163333.33333333334,9,6,4900000.0,4900000.0,30.0,30.0,1.5
Launch Price Finished 1st Row Sea View 5%D.P,13000000,2,True,3,120,Chalet,2026-06-16,"Silver Sands, Qesm Marsa Matrouh, North Coast","Partly furnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",1292,North Coast,Silver Sands,Partly furnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2026,6,16,108333.33333333333,9,5,6500000.0,4333333.333333333,60.0,40.0,1.8
