title,price,bedrooms,has_maid_room,bathrooms,area_sqm,property_type,available_from,location,amenities,region,sub_area,furnishing_status,amenities_no_furnishing,amenities_clean_list,amenity_balcony,amenity_built_in_wardrobes,amenity_central_a_c,amenity_children's_pool,amenity_covered_parking,amenity_kitchen_appliances,amenity_lobby_in_building,amenity_maids_room,amenity_private_garden,amenity_private_pool,amenity_security,amenity_shared_gym,amenity_shared_pool,amenity_shared_spa,amenity_study,amenity_view_of_landmark,amenity_view_of_water,amenity_walk-in_closet
Zero Over Fully Furinshed Apartment Prime Location,8000000,2,False,2,1021098,Apartment,2026-06-22,"Park Side Residence, Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Shared Pool, Study",Giza,Park Side Residence,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Private Garden, Private Pool, Shared Pool, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study']",1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0
Ready To Move Prime Location Park View Finished,6000000,1,True,2,70753,Apartment,2026-06-22,"Park Side Residence, Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Study, Shared Pool",Giza,Park Side Residence,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Study, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Study', 'Shared Pool']",1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0
Townhouse fully finished in new Zayed lowest price,20000000,3,True,3,2052207,Villa,2026-06-22,"Belle Vie, New Zayed City, Sheikh Zayed City, Giza","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",Giza,Belle Vie,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
lowest price townhouse fully finished in new Zayed,20000000,3,True,3,2052207,Villa,2026-06-22,"The Estates, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, Study",Giza,The Estates,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Maids Room, Private Garden, Private Pool, Shared Pool, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study']",1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0
Own Standalone Villa for Sale in O West – October,42000000,7,False,7,5876318,Villa,2026-06-22,"O West, 6 October Compounds, 6 October City, Giza","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Private Garden, Private Pool, Shared Pool, Study, View of Water",Giza,O West,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Private Garden, Private Pool, Shared Pool, Study, View of Water","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study', 'View Of Water']",1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0
Ready To Move Chalet Furnished View Lagoon,14000000,3,True,3,3133369,Chalet,2026-06-22,"Fouka Bay, Qesm Marsa Matrouh, North Coast","Unfurnished, Built in Wardrobes, Kitchen Appliances, Covered Parking, Central A/C, Maids Room, Private Pool, Private Garden, Shared Pool, Study",North Coast,Fouka Bay,Unfurnished,"Built in Wardrobes, Kitchen Appliances, Covered Parking, Central A/C, Maids Room, Private Pool, Private Garden, Shared Pool, Study","['Built In Wardrobes', 'Kitchen Appliances', 'Covered Parking', 'Central A/C', 'Maids Room', 'Private Pool', 'Private Garden', 'Shared Pool', 'Study']",0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0
Prime location Chalet 2BR for sale in silver sands,11700000,2,True,2,1151238,Chalet,2026-06-22,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study",North Coast,Silver Sands,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study']",1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0
Townhouse For Sale Full Sea View-Prime Location,41000000,3,True,3,2772982,Villa,2026-06-22,"June, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Pool, Shared Pool, Study",North Coast,June,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Pool, Shared Pool, Study","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Pool', 'Shared Pool', 'Study']",1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0
Chalet for Sale – North Coast sea view | finished,9000000,2,True,2,1271367,Chalet,2026-06-22,"Ramla, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security",North Coast,Ramla,Unfurnished,"Balcony, Built in Wardrobes, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security","['Balcony', 'Built In Wardrobes', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study', 'View Of Water', 'Security']",1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0
Apartment 3BR for sale in ZED West DOUBLE VIEW,11700000,3,True,3,1611733,Apartment,2026-06-22,"Park Side Residence, Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",Giza,Park Side Residence,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Own chalet 2BR finished with Ora silver sands,14000000,2,True,2,1902045,Chalet,2026-06-22,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,Silver Sands,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Luxury 3BR Chalet sea view for Sale in June Sodic,13000000,3,False,3,1511625,Chalet,2026-06-22,"June, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Private Garden, Private Pool, Shared Spa, Shared Gym, Walk-in Closet, View of Landmark, Lobby in Building",North Coast,June,Unfurnished,"Balcony, Built in Wardrobes, Private Garden, Private Pool, Shared Spa, Shared Gym, Walk-in Closet, View of Landmark, Lobby in Building","['Balcony', 'Built In Wardrobes', 'Private Garden', 'Private Pool', 'Shared Spa', 'Shared Gym', 'Walk-In Closet', 'View Of Landmark', 'Lobby In Building']",1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1
LOWEST PRICE FOR 2BED IN ZED EAST|READY TO DELIVER,6000000,2,True,2,1261356,Apartment,2026-06-22,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",Cairo,Zed East,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Ground chalet for sale in the med _ Ras El hekma,21700000,3,True,3,1821959,Chalet,2026-06-22,"Ramla, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Study, View of Water, Maids Room, Kitchen Appliances, Covered Parking, Central A/C, Private Garden",North Coast,Ramla,Unfurnished,"Balcony, Built in Wardrobes, Study, View of Water, Maids Room, Kitchen Appliances, Covered Parking, Central A/C, Private Garden","['Balcony', 'Built In Wardrobes', 'Study', 'View Of Water', 'Maids Room', 'Kitchen Appliances', 'Covered Parking', 'Central A/C', 'Private Garden']",1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0
"Sea view fully finished chalet 2BR for sale , june",13000000,2,True,2,1201292,Chalet,2026-06-22,"June, Ras Al Hekma, North Coast","Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool",North Coast,June,Unfurnished,"Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool","['Balcony', 'Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
Resale penthouse chalet in Silver Town NORTH COAST,10000000,4,True,3,1751884,Chalet,2026-06-22,"Ramla, Ras Al Hekma, North Coast","Unfurnished, Balcony, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security",North Coast,Ramla,Unfurnished,"Balcony, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water, Security","['Balcony', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study', 'View Of Water', 'Security']",1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0
Sea View Chalet for Sale in Silver Sands Finished,8500000,2,True,2,75807,Chalet,2026-06-22,"Silver Sands, Qesm Marsa Matrouh, North Coast","Unfurnished, Built in Wardrobes, Balcony, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Shared Pool, Private Pool, Private Garden",North Coast,Silver Sands,Unfurnished,"Built in Wardrobes, Balcony, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Shared Pool, Private Pool, Private Garden","['Built In Wardrobes', 'Balcony', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Shared Pool', 'Private Pool', 'Private Garden']",1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
HOT OFFER DELIVERY NOW PRIME APARTMENT FOR SALE,23000000,3,True,3,2162325,Apartment,2026-06-22,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water",Cairo,El Patio Oro,Unknown,"Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water","['Balcony', 'Built In Wardrobes', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study', 'View Of Water']",1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0
DELIVERY NOW APARTMENT FOR SALE IN PRIME LOCATION,21000000,3,True,3,1641765,Apartment,2026-06-22,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water",Cairo,El Patio Oro,Unknown,"Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Maids Room, Private Garden, Private Pool, Shared Pool, Study, View of Water","['Built In Wardrobes', 'Central A/C', 'Covered Parking', 'Kitchen Appliances', 'Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Study', 'View Of Water']",0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0
